"year","state","pop","hydro_gms","oxy_gms","fent_gms","unempl_rate","poverty_rate","snap_rate","medicaid_rate","gsp_per_cap","min_wage","death_rate","log_hydro","log_oxy","log_fent","log_death_rate"
2000,"AL",4452173,10652.625583058,6716.9038579588,62.7448663832246,2.19283931689088,13.0947292479425,8.89581334777422,12.6887701803142,26982.9811195567,5.15,4.4857,9.2736555435384,8.8125314589592,4.15488865347407,1.70214470636831
2001,"AL",4467634,11269.2147566251,7735.81407966722,62.5277272041533,2.42895904185526,15.5787157139551,9.20603612560921,15.0864641105337,27539.2523201319,5.15,4.8915,9.32991866245343,8.95374526423194,4.15147645947957,1.77351063417126
2002,"AL",4480089,12882.2561337509,8232.09544497888,83.4289787546631,2.77320383590594,14.2854304903318,9.90040599639873,16.4525972586705,28597.0658172193,5.15,4.7619,9.46368377312388,9.01591734020814,4.43591069284446,1.7512672814267
2003,"AL",4503491,14451.1404597012,8704.41497496053,103.961016020683,2.8309815651902,14.7219124008464,10.4822236793634,16.6062061631743,29747.8778130122,5.15,4.4333,9.57859781126965,9.07170052194034,4.65358900522403,1.69254668415646
2004,"AL",4530729,15990.2541070102,9164.08568025146,124.175546584225,2.68321058266782,16.8405570052855,10.9825813903237,17.2654555149955,32420.1028134766,5.15,6.3542,9.6797972334598,9.12315650886638,4.82971712476709,1.99527157859304
2005,"AL",4569805,17465.610677042,9593.34654323325,143.775062612081,2.10586666170657,16.4120788523799,12.2236287981653,17.6927680721606,34225.3772316324,5.15,6.333,9.76804637612302,9.16892930223865,4.9751812455903,1.99238470911166
2006,"AL",4628981,1405548.78064382,33242.4090308743,338.748020301315,1.89190666369121,14.0419673357916,11.8100290323075,16.7144561621661,35504.0990662956,5.15,8.7498,14.1559390871603,10.4116118017995,5.82820422608658,2.27724677197885
2007,"AL",4672840,504337.246964666,53285.3808119973,332.930216928806,1.85080165381224,14.1669734037545,11.6835800070193,15.3952842382791,36436.920587908,5.15,11.0885,13.1310024468798,10.8834360580286,5.81093203979662,2.49225458745054
2008,"AL",4718206,417807.025302245,75693.2521833696,366.434004393979,2.60717738903304,14.3062850583463,12.1145833819041,15.7805106432402,36598.0629078086,5.85,12.9811,12.9427773363984,11.2344575076573,5.90654372264617,2.6377064175443
2009,"AL",4757938,476075.786659217,291846.457737303,342.773850706819,5.0074633170924,16.1834811634788,14.2737883511723,16.826385715829,35546.5960254211,6.55,13.6077,13.0733344367144,12.5839865397401,5.83998403044821,2.68154878694951
2010,"AL",4785437,512436.291429711,279159.460999276,376.713722668212,4.83723847999671,16.8845603860212,16.8238553762175,17.9105272935366,36667.5185568215,7.25,11.7688,13.1469336243224,12.5395420245099,5.93413656124854,2.54700469538621
2011,"AL",4799069,789725.227090125,626675.17790456,382.574874285033,4.4228786875121,15.2529584383971,19.1779905644199,19.1111651030648,37909.4153470184,7.25,11.7632,13.5794416163944,13.3481852235301,5.94953484108575,2.54656603017473
2012,"AL",4815588,909340.585828583,860341.925400002,386.639375622562,3.59347601995852,16.1351012586625,18.9020288550432,19.4753164099587,38739.5890179974,7.25,12.0706,13.7204760845609,13.665086339215,5.96007546315037,2.57036543323892
2013,"AL",4830081,886042.509607554,880676.687869026,405.985383338664,3.24957283325062,16.4800548893486,18.950456870185,19.7792749231328,39785.3576368595,7.25,12.7176,13.6945213362907,13.6884469899308,6.00877727162489,2.6186796798825
2014,"AL",4841799,1253862.78361497,735895.460003888,416.384925860408,3.02680883696329,17.5141512483273,18.6309468856514,21.3754226476564,40282.0728411072,7.25,15.1532,14.0417403687684,13.5088447084722,6.03400887961724,2.78211817245591
2015,"AL",4852347,833602.284824923,638403.655932981,432.673069620371,2.70953416975332,16.1571297353631,18.3288623010679,21.6479159466543,41257.8696453489,7.25,15.6639,13.6335128905024,13.3667276182192,6.07229095442496,2.81324470298051
2016,"AL",4863525,812652.632842378,567082.733506891,561.883345163847,2.61758703820788,16.0788728340041,17.4873985432377,21.3629209266941,42038.3775142515,7.25,16.2075,13.6080602618867,13.2482622499492,6.3330724044747,2.84534533529038
2000,"AK",627963,4302.54648761153,11847.1502301887,97.6586200142365,3.24302546487612,7.48451739991051,5.9755112960477,13.2429776913608,42702.8344026639,5.65,7.1077,8.36719472631108,9.37992703566035,4.59166560842048,2.09281422741188
2001,"AK",633714,5083.32938833606,17405.3532034956,96.7723610335262,3.26046134376075,8.52119410333368,5.98014246174142,13.8802361948766,44902.5901274076,5.65,9.3983,8.53391841941913,9.76459054519779,4.58264193008072,2.34164233124757
2002,"AK",642337,5530.43028815092,16517.1234102971,112.53711058214,3.70848946892363,8.71816507534207,7.18703733398512,14.3764098907583,46133.7273113646,7.15,12.1995,8.61820170269302,9.71221344560423,4.7321297489613,2.58017895008703
2003,"AK",648414,5989.11035233662,15713.8849562162,128.386339591681,4.00145585999068,9.56179231170209,7.81707365972974,14.9711449783626,49026.8562985993,7.15,12.7245,8.6978651137005,9.66236362856957,4.8628028091965,2.61918255685951
2004,"AK",659286,6392.43969991779,14817.0088550341,142.894358442315,3.80714894598096,8.94907521166838,7.48127519771389,14.8880758881578,53069.3811183614,7.15,12.7164,8.76302769674007,9.60359853456274,4.96907940841538,2.61859219719673
2005,"AK",666946,6815.34786924279,14016.4121233203,157.687428967263,3.56070806332147,9.89585363732596,8.33155907674684,14.9105024994527,59658.0532756775,7.15,11.3744,8.82707910436097,9.54805555890882,5.06693641183825,2.51562982243084
2006,"AK",675302,10948.7267207997,19597.7958069918,231.677978598168,3.42794779224702,8.588749922257,8.46332455701301,14.9091813736669,65832.9162359952,7.15,11.0604,9.30106977792862,9.88322340491241,5.44965543152918,2.48992735824486
2007,"AK",680300,11901.8704589888,20733.5095484827,231.64419943275,3.26414816992503,7.49669263560194,8.25826841099515,14.1433191239159,72030.8687343819,7.15,10.0941,9.38453486505303,9.93955471908425,5.44951024538903,2.4064134354738
2008,"AK",687455,12520.064370305,22284.0500677307,248.274966609596,3.46553592598788,8.00052367064026,8.28810613058309,14.0692845349877,79654.6683055618,7.15,18.1345,9.43516765464327,10.0116713320791,5.51855657076478,2.95149298840823
2009,"AK",698895,12793.4934958711,24074.5612291444,235.598823851938,3.98557723263151,11.58972377825,9.21239957361263,14.5875989955573,71043.0035985377,7.15,17.8528,9.45677016171195,10.0889525480932,5.46636598049194,2.93666144397694
2010,"AK",713910,12715.8125996823,24455.046097364,259.507584289196,3.99167962348195,12.0463363729322,10.7079323724279,15.8588617612864,74165.7912061744,7.75,11.5962,9.45068022370727,10.1046327484791,5.56263197512353,2.53339518116925
2011,"AK",722128,13412.1874541797,25911.6158956931,255.052581252908,3.84308599029535,11.4938071920768,11.915339108856,16.6374936299382,78010.9620455099,7.75,14.2364,9.50399364036394,10.1624852293126,5.54538281890796,2.72368730188161
2012,"AK",730443,11568.7236463426,24422.5463902766,225.045549795398,3.56564441030991,9.58322552204621,12.4989447088958,16.7028775688178,79017.1170098146,7.75,17.4251,9.35614693453881,10.1033029619476,5.42073652673151,2.91371386546908
2013,"AK",737068,10705.7643908723,22849.948144937,199.245916787868,3.4584326005199,10.3111246180814,12.3955772466041,14.8697270808121,76825.0690574004,7.75,14.3519,9.27863100676741,10.0367478897694,5.29954619516813,2.73123924487491
2014,"AK",736283,10590.126386401,22851.5385408979,187.682238392031,3.406434754028,11.1370220417964,11.882115979861,15.9677732610966,75718.9830540702,7.75,16.7585,9.26777179614996,10.0368174860334,5.240064321776,2.87686427453766
2015,"AK",737498,9212.59088827142,23862.7661380383,187.172180033031,3.20692395098021,8.81358322327654,10.9995213546342,17.6300139119021,68784.0509397992,8.75,15.9606,9.12843494341084,10.0801165263661,5.23735739493362,2.83089300709648
2016,"AK",741456,9996.60989390362,26062.0673729784,181.866726447692,3.34638872704517,12.0034095077793,11.1032886644656,20.812967998101,67105.2631578947,9.75,16.8331,9.21010133279896,10.1682745480108,5.2087576167458,2.8810562810361
2000,"AZ",5160586,4061.82863729042,7511.54946356867,46.5879262548866,1.92423883644222,11.7622301033255,5.01892614520909,9.37864420823527,31897.5209404513,5.15,10.5896,8.30963471869917,8.92433016299066,3.86257907895532,2.4501081442453
2001,"AZ",5273477,4780.14088238178,10116.4656639253,45.5906036946781,2.34733175094914,14.7530746791917,5.52523505838747,11.0772266570993,32517.5401352846,5.15,10.9008,8.47243447532891,9.22201848301314,3.84139888334678,2.47660562474861
2002,"AZ",5396255,5356.90974574033,11794.104707802,75.2621493980547,3.0283038885301,13.6205572197756,7.01823764814672,14.8984063948053,33259.2881544701,5.15,12.005,8.58632920519604,9.37543986910648,4.33417673916276,2.56533389890062
2003,"AZ",5510364,5917.31127018106,13418.177819106,103.776538174248,2.85182612255742,13.5925684764201,8.45956818823584,17.5706359870237,34982.2262195383,5.15,12.7405,8.68580642876877,9.50444014330655,4.65182987444065,2.62034767623399
2004,"AZ",5652404,6423.07715442845,14902.3480098026,130.485940141575,2.49170087629971,14.6840176321438,9.36868631470787,17.9895669170144,36336.8400418654,5.15,13.6816,8.76780826589514,9.60934116533706,4.87889992682609,2.68659500907281
2005,"AZ",5839077,6851.27375439646,16189.0550509952,154.694312131866,2.30950884874442,15.7045368643024,9.42428058407176,18.7795605367081,39087.1022937358,5.15,14.135,8.83233581112644,9.69215244697444,5.0478945472277,2.71700994247368
2006,"AZ",6029141,18784.634172868,36518.7549712786,334.830231187527,2.0907787693139,14.9606718436341,8.96947011191146,17.6262091067368,41159.1302973342,5.15,14.9163,9.84084771697339,10.5056086252471,5.81660576795134,2.76734374134407
2007,"AZ",6167681,19774.1928190375,49321.8257794984,341.340736829742,1.89534770037555,14.7867569674891,8.83132574463563,17.7901710545665,42519.2710193669,6.75,15.7117,9.89218354323497,10.8061422504362,5.83580654759839,2.81610907292033
2008,"AZ",6280362,23484.2610690158,44964.3011876035,346.560785167463,3.04058906158594,18.6613446804499,9.99400989942936,18.6105673526462,41281.4739023005,6.9,13.5455,10.0641283148147,10.7136463865938,5.85093957105311,2.67728166743057
2009,"AZ",6343154,25686.6951855105,51448.9637831332,308.167222431585,4.89556141944528,21.7715035769272,12.832527792956,20.5490675458928,38429.5572833325,7.25,16.1338,10.1537673696724,10.8483650373384,5.73388230343424,2.84105312077617
2010,"AZ",6407172,25919.9376351448,57277.7005431902,321.812727497514,4.99832063194183,19.3689197043563,15.8911138954909,19.0084486572235,38726.1805988664,7.25,17.4977,10.1628063240073,10.9556841153295,5.77707236404947,2.91764640003105
2011,"AZ",6472643,28473.3877616053,61461.3124535549,315.908763000524,4.4579470859122,17.4271931883158,16.4942976153636,16.2076141075601,39841.6999052783,7.35,16.8532,10.2567602871749,11.0261794603192,5.75861391857244,2.88218276386708
2012,"AZ",6554978,27367.2396274919,64976.5214075729,309.796738013156,3.8524766978623,19.2220324766918,17.1468818552862,20.6957979111448,40895.3622727643,7.65,17.6797,10.2171384823737,11.0817966645678,5.73913912298525,2.92743737271456
2013,"AZ",6632764,26023.1317057874,67318.7576000007,300.846930350364,3.53891680753303,20.2781223634672,16.7517681919634,20.0406647967574,41461.9757313844,7.8,18.7376,10.166779529076,11.1172090475853,5.7099200357369,2.98252544606671
2014,"AZ",6730413,22976.3118794921,62157.1128472369,292.832016856558,3.12765353329729,20.9348222761367,15.5162840675602,23.7734296543169,42323.0194046041,7.9,18.1685,10.0422625680371,11.0374366249802,5.68300823280774,2.95326830673473
2015,"AZ",6829676,16591.563573999,59995.2461091248,298.452165567459,2.80853733032138,16.9261323670405,14.6332124686442,25.4458776668176,43723.1575846351,8.05,19.0161,9.71670989650281,11.0020372743991,5.70195469050085,2.99653694971527
2016,"AZ",6941072,14911.0933707182,56943.7898038877,290.529807829511,2.49640113227467,15.9629521203641,13.832229373215,27.2676180278781,45102.0389934004,8.05,20.2697,9.60992779835414,10.9498374774888,5.6751422572677,3.05728352474032
2000,"AR",2678588,6529.30424537107,4457.58810238827,55.4071772142636,2.00127828542501,16.2772326315208,9.20529771655813,14.6352481232649,25662.9238987108,5.15,5.3887,8.78420881312555,8.40258742592434,4.03259640597976,1.85453080481263
2001,"AR",2691571,7538.41009581393,5729.51484467621,55.1399164279895,2.31028644609412,17.5362269841665,9.52755844077678,16.4356058227704,26259.8683073937,5.15,4.846,8.92789922131191,8.65356065640128,4.02784708229689,1.76575766668905
2002,"AR",2705927,8659.19627543537,7037.93977073291,72.9487528673168,2.57120757507501,19.6605451662221,10.4921160105206,18.1881846775615,27342.3858071559,5.15,6.8274,9.06649266589957,8.85921283706249,4.30337232447527,2.05763039866572
2003,"AR",2724816,9751.90251378442,8318.69252822943,90.4189493896102,2.76704922460819,17.3956700195536,11.3900901932461,20.7536582286657,28738.1973681893,5.15,7.0314,9.18532021341139,9.02638057739072,4.51545278070904,2.08335885896388
2004,"AR",2749686,10806.0073041067,9560.96868878847,107.414446594993,2.69830809772461,14.9835290284054,12.5992931556549,21.1040096941978,30751.5112634679,5.15,8.6534,9.28795002717105,9.16554891463441,4.68596135129725,2.26731018490291
2005,"AR",2781097,11813.3650138776,10755.6180169192,123.813372924425,2.53371241635944,13.7355870722956,13.4394449384541,22.047666801985,32233.0001434686,5.15,10.0735,9.37707144411222,9.28327647361458,4.82681960503781,2.40455486657776
2006,"AR",2821761,45278.9099775058,70937.4012299728,694.757380261014,2.49858155952967,17.2587260225086,13.6400283369144,22.3773735621125,33472.5726239749,5.15,10.4539,10.7206187247458,11.1695671911407,6.54500100798325,2.43833028335908
2007,"AR",2848650,53456.8228568778,70637.006817043,939.847372412125,2.55250732803258,13.5853825496288,13.3315079072543,21.7552524880206,34048.373791094,6.25,10.8886,10.8866482641513,11.165323618813,6.84678092920589,2.47557995776504
2008,"AR",2874554,65373.7243273585,72636.5564700838,953.045357088091,2.6174495243436,14.993630316216,13.1457958347625,21.4899076517609,34445.1347930844,6.25,13.0512,11.0878909845684,11.1932373738063,6.8607112144356,2.64270780138526
2009,"AR",2896843,65250.3936489638,88139.3980251284,754.32583174618,3.67683025969996,18.571941938172,14.1931406016826,21.8029075100031,33479.1012146671,6.25,12.5975,11.0860026835617,11.3866862542143,6.62714922137827,2.60988595231498
2010,"AR",2921964,68853.7051875656,77752.8953846217,661.367879184856,3.79340744786726,15.2294826356519,15.9686430086065,22.1486643914846,34555.7987709636,6.25,12.5146,11.1397538415104,11.2613039301964,6.49582111032654,2.60377058254606
2011,"AR",2940667,77416.2265334155,79665.8058011636,747.599112782236,3.84837861614389,18.5332103226921,16.542199439787,22.5440010718657,35742.8433753295,6.25,12.6401,11.2569645998451,11.2856082887021,6.61820361030029,2.61301398376674
2012,"AR",2952164,77704.0454702176,95719.7349415096,745.092926793735,3.44242393037785,19.782098826488,17.0087010748725,22.263532784764,36488.081285457,6.25,13.0962,11.2606754695142,11.4691902200278,6.6148501591936,2.64590525751542
2013,"AR",2959400,74981.4076790795,99865.3841026143,605.70299004609,3.2343380414949,17.0304791511793,17.0514603196594,22.4670541325944,38103.8724065689,6.25,11.0713,11.225008800725,11.51158841254,6.40803936331272,2.49083073436352
2014,"AR",2967392,89712.9363103696,113926.029315095,672.652894774031,2.67096494160529,17.9282009252569,16.5790364063797,29.3246729788312,39142.7219592154,6.25,12.55,11.4043814017578,11.6433134287019,6.51271498534104,2.60638654732571
2015,"AR",2978048,124455.743839103,109274.888344232,659.596128281713,2.24717667411674,15.950045130233,15.7453472878879,30.7263348340927,39534.0504921344,7.5,13.8454,11.7317134954726,11.6016310491355,6.49314265202779,2.69769005295207
2016,"AR",2989918,115716.195109911,104426.858015364,578.773040962026,1.77616911233017,15.7529403816426,14.2501901389938,29.4379979651616,39864.5715367445,8,13.9917,11.6589045202024,11.556251758063,6.36263671827308,2.70749671462349
2000,"CA",33987977,5495.87302592326,2454.74595325282,51.6402609075556,2.45565954101946,12.6338793273869,5.38925279371585,18.1499946289831,40195.581514016,6.25,5.8355,8.61193466879876,7.80618584468752,3.9634812434553,1.92212962038991
2001,"CA",34479458,5976.7697914509,3598.00183053922,50.9041644448123,2.69945948686316,12.5320995475045,4.83868394915025,19.569794281569,40242.854165515,6.25,3.6186,8.69580283281013,8.1884118167033,3.94939902673724,1.53009162886766
2002,"CA",34871843,6670.23722405495,4320.80797249517,66.1343953056912,3.29323574896801,13.2054964803552,4.90454720159184,21.435230710347,41275.1829606482,6.75,8.6703,8.80556061257118,8.37142910583803,4.20669651034463,2.26905933276888
2003,"CA",35253159,7350.57948991181,5029.10736311603,81.0511336019561,3.33240490589794,13.1449212820899,4.84596004573661,22.4028178581102,43416.2453356308,6.75,8.9283,8.90267046570656,8.52319660742186,4.40734263343037,2.29538926501224
2004,"CA",35574576,8029.85901363941,5731.88295343281,95.8096802053242,3.03484994452218,13.3325552495692,5.22700818697038,22.3408340833071,45887.5096642051,6.75,8.8191,8.99104677676596,8.65397381641405,4.57274699140377,2.28432946847178
2005,"CA",35827943,8713.49248266918,6434.27087064418,110.513433606836,2.64434103850171,13.1629103016045,5.55997311930523,22.493445967579,48918.4907992066,6.75,8.9735,9.07274272133806,8.76954921248453,4.71414506442174,2.29993157552848
2006,"CA",36021202,1127939.96213721,30870.3103696745,3167.83685105328,2.40049457538924,12.2899841043616,5.55133057469876,22.3666578366819,52048.5490739593,6.75,9.6031,13.9359043711396,10.3375825645925,8.0611198755803,2.36114641119222
2007,"CA",36250311,746597.873340737,44138.0813648121,2733.07236542818,2.65236345144735,12.6592017376072,5.65011704313378,22.3547185567594,53939.4241334923,7.5,10.4807,13.5232833364081,10.6951008677412,7.91354748563448,2.44066736464224
2008,"CA",36604337,485721.381486549,30249.9020923201,8018.98535577992,3.61607696924001,14.5993629115588,6.06520205515538,22.5903394999341,54370.2758500994,8,10.3705,13.0933925081586,10.3172812842481,8.98969187489629,2.43102228216935
2009,"CA",36961229,268232.529382971,59373.9683033586,4628.10970497012,5.49918943442059,15.2538217817378,7.22470835588286,23.5820621657359,51926.6039557289,8,10.7369,12.499613258358,10.9916280074986,8.44011984024712,2.46273772501694
2010,"CA",37319502,189155.035428259,83766.991810849,1708.00121936308,6.01381551125736,16.2837113957201,8.67789714878832,24.2813502709656,52881.5175507969,8,10.5598,12.150327537711,11.3358062542074,7.44366439661041,2.4475335620565
2011,"CA",37638369,201711.963077925,88646.7184322185,1542.55040670736,5.73076638894741,16.8763954676144,9.75860563989901,24.3052614740028,54448.0766422158,8,10.7344,12.2146009909794,11.3924255743659,7.34184050081575,2.46252469889487
2012,"CA",37948800,199237.455262405,89896.1264284897,1357.49844888899,5.06240250021081,15.8503035669112,10.4462343560271,25.1181091365208,56499.536217219,8,10.2923,12.2022576540072,11.4064212558609,7.21413528708363,2.42412107751974
2013,"CA",38260787,130670.726766902,76075.2257289048,1078.13977423637,4.35586701339938,14.832418371321,10.870217463117,27.1998665369847,59107.7909610171,8,11.1379,11.7804435546116,11.2394910867472,6.98391949740265,2.49633278879017
2014,"CA",38596972,114206.935068309,27540.30709838,840.46659420923,3.63699255993449,15.8354391116484,11.2693658974077,20.0178786045703,62157.1479752349,9,11.102,11.6457760577508,10.2234422329712,6.73514631493347,2.49337072820013
2015,"CA",38918045,25717.8826797352,25717.9010363182,689.356937437744,3.00146628639748,13.9806611560267,11.3514746180082,24.735577031169,65770.0868581657,9,11.3219,10.154980735718,10.1549814494573,6.53720876447187,2.51137816699379
2016,"CA",39167117,20915.7468010044,21570.4986479523,680.487837636561,2.65808688446484,13.8764361951889,11.0808308918933,32.314813980309,68197.5265118441,10,11.2218,9.9483053994423,9.97912821531704,6.52427840451594,2.50322124240494
2000,"CO",4326921,3741.08725349966,4541.62232220094,71.0921230131079,1.50469583336511,9.82222693689115,3.60413328553953,6.44728665025315,41760.249378253,5.15,7.8839,8.22739882390577,8.42125972829542,4.27794478746417,2.18424064977792
2001,"CO",4425687,4425.83603404398,6594.4414957497,69.5055931429403,2.05470924627069,8.65402365779595,3.47860117536554,6.77874418141183,42376.742865006,5.15,8.9896,8.3954403943331,8.79413400692133,4.25569204203219,2.3015445518188
2002,"CO",4490406,5037.01536119451,7441.61546862355,82.72765313426,3.01324646368279,9.70958973420221,3.97491897169209,7.3480660768759,42548.9810943598,5.15,9.7169,8.52476750597391,8.91497760753257,4.42756930685254,2.37182193471784
2003,"CO",4528732,5663.64337743987,8312.88217099179,96.1309920746028,3.26850871281409,9.62741888899586,4.59406739016572,7.99146427741805,43448.938908286,5.15,10.7497,8.64199921957232,9.02568194735129,4.57606050124659,2.46382770834933
2004,"CO",4575013,6268.83508309157,9153.58191331915,109.119307420547,3.03391487630746,9.83603762437396,5.28479372626919,8.62089353625881,44671.9167792529,5.15,10.9393,8.74350533074382,9.12200978848735,4.70156439093886,2.4798354797802
2005,"CO",4631888,6846.21065967053,9954.6226074551,121.568785773749,2.78111215124373,11.4424182968155,5.30941162653328,8.85343082561582,47563.196692148,5.15,12.6913,8.83159664535882,9.20589275672796,4.80867238891377,2.61676059461665
2006,"CO",4720423,13281.1906082565,30864.7980239481,7507.63178562154,2.38355757524273,9.871996640979,5.32547612788091,8.55022950273736,48990.5883434599,5.15,12.8239,9.49417936486778,10.3374039897974,8.92380854249079,2.62639897823924
2007,"CO",4803868,13501.9492955143,55857.8426616702,7171.57759440946,2.07039410741511,9.95031503779871,5.21879452141483,8.43158055133905,51240.1672985186,6.85,14.7299,9.51066340690062,10.9305831207323,8.87802036611829,2.75556335977089
2008,"CO",4889730,14478.6230921341,33509.9991329964,1642.04377399368,2.68689682252394,11.0640055790402,5.17273959911897,8.68434453436079,52319.9031439364,7.02,14.7725,9.58049763605218,10.4196289962521,7.40430576040523,2.75826791726283
2009,"CO",4972195,15291.990178464,34917.0879686956,736.889271743928,3.99298498952676,12.328559117251,6.41811111591561,9.73578067634113,50011.9363781992,7.28,14.9699,9.63514984412363,10.4607602538352,6.60379377505624,2.77070570046655
2010,"CO",5047349,15104.9225863914,40485.7447735609,3929.8166197212,4.71560417161563,12.2242389024417,8.01765441620938,10.8117746563592,50652.4712279654,7.24,12.6675,9.62284217016752,10.608729909982,8.27660247455535,2.61502075178702
2011,"CO",5121108,21810.2841072967,42528.3052481702,10875.0789571946,4.46805652214326,12.9073630159723,8.84775325964615,11.8808664062543,51611.9167961308,7.36,16.1231,9.99018273445913,10.6579486525434,9.29432106549014,2.84042842908789
2012,"CO",5192647,27356.3168137229,43873.2459395762,16062.7767040627,4.18439766847236,11.805154480942,9.46780450702695,12.5156399038872,52688.7154085383,7.64,15.0082,10.2167392972535,10.6890827740581,9.68432212200034,2.77310109095651
2013,"CO",5269035,15062.8711344396,43075.5387427713,27545.5837522927,3.59832493046639,10.6281320962947,9.63997993370702,13.8374484132294,54731.7487927106,7.78,15.5429,9.6200545157624,10.6707337831672,10.2236338051605,2.8059570067538
2014,"CO",5350101,15205.0699156118,42163.476198233,779.116630105357,2.61909074239907,12.3549069447474,9.44223295971422,19.5784341267576,57137.4073124975,8,16.2953,9.62944996367415,10.6493333492643,6.65944343428187,2.85043478829246
2015,"CO",5450623,13860.0947865032,42786.2861090845,384.249727176545,2.0234384216263,9.87043132500633,9.08398452800716,22.7760019359255,58340.5603359469,8.23,15.368,9.53684125854963,10.6639962839147,5.95389176602748,2.79532820920927
2016,"CO",5539215,11400.7147472164,38698.2194365094,297.032768907562,1.70982711449185,8.43079750470057,8.58767894006642,24.0282603220853,59170.3517556188,8.31,16.5808,9.34151903949366,10.5635747092152,5.69720344323699,2.86680739747876
2000,"CT",3411777,2904.94425632156,9929.22691019958,81.4748443406471,1.23727312775718,7.56204171609106,4.83791877370649,10.3715746955326,48602.9421031914,6.15,9.2232,7.97451366167562,9.20333860775493,4.4124933297609,2.32465964731236
2001,"CT",3432835,2677.84848383333,12050.6930860353,80.9750541462086,1.60377647046829,7.25347999539739,4.57438239822188,10.7699030101942,50347.4533439562,6.4,8.7869,7.89314231095876,9.39696043411406,4.40641498325149,2.28104475675584
2002,"CT",3458749,2992.41315284804,13264.035493758,104.177840022505,2.22696125101879,8.06650034448872,4.87433462214228,11.7830464136021,50940.8459532623,6.7,10.2713,8.00416953803476,9.4928869423133,4.65565263194068,2.42225967188735
2003,"CT",3484336,3302.60916283619,14460.688636228,127.047448925706,2.76483094626925,7.97856463900152,5.18067143926418,12.3335694376203,52012.8655789798,6.9,8.759,8.10277083552401,9.57925826871665,4.85240088996138,2.27818993615932
2004,"CT",3496094,3622.55534319157,15701.7593062429,150.175309931598,2.51652272507547,9.95396576865496,5.6056845153477,12.5301264782926,56715.4086818032,7.1,9.6133,8.19521096184006,9.66159172788382,5.01844015630831,2.36210793159962
2005,"CT",3506956,3941.36339321052,16938.836700546,173.192363976052,2.49772167087354,9.29581095400113,5.82117369023164,12.7852473769275,59499.1496899305,7.1,8.4563,8.2795356684488,9.73742332828626,5.16016022864737,2.24668118604881
2006,"CT",3517460,9508.46769221836,68308.0823096064,413.433052573647,2.25901644936972,7.81814149983227,5.97840487169719,12.6072791161804,63373.6559904022,7.4,11.5107,9.16004318049425,11.1317980134329,6.02691144783615,2.5265842781492
2007,"CT",3527270,9629.01985147037,43663.886178109,368.452640182974,2.35451212977742,8.76031605179076,6.02624692751051,12.6475999852577,67303.4953377541,7.65,12.2348,9.17264056620961,10.6842995381368,5.91202255946159,2.58284972411796
2008,"CT",3545579,9800.16946136092,48892.6055963402,381.875155068439,3.01144044456491,7.78434213424662,6.35673327261923,13.3156248951159,67852.443846266,7.65,10.7434,9.190256990331,10.7974019020115,5.94770897016347,2.46329138064877
