"","state","year","deaths","death_rate","hydro_gms","oxy_gms","fent_gms","pop","unempl_rate","poverty_rate","snap_rate","medicaid_rate","gsp_per_cap","min_wage","log_pop"
"1","AL",2000,197,-1.30840026387651,-0.103700911691837,-0.0719898444827657,-0.0860287322254799,-0.239683972751199,-0.739628670408577,0.194205918657137,-0.385733120831846,-0.623863272322485,-1.66180407402899,-1.02675399387471,15.3089028495624
"2","AL",2001,216,-1.24168551888578,-0.103568623421793,-0.0719510063901328,-0.0860288523058686,-0.237370635483753,-0.492875384058116,0.948859111819707,-0.316898997699211,-0.186311568233477,-1.61080186798265,-1.02675399387471,15.3123695199699
"3","AL",2002,211,-1.26299215011003,-0.103222547845967,-0.0719320894912468,-0.0860172936805583,-0.235507068077632,-0.133127657544151,0.555949634642081,-0.162827973259671,0.06299209786249,-1.51381532278445,-1.02675399387471,15.3151534702653
"4","AL",2003,197,-1.31701498205668,-0.102885946098357,-0.0719140859524983,-0.0860059392348667,-0.232005566316248,-0.072747930348931,0.688556020399203,-0.0337307151233369,0.0910239651003229,-1.40830212981431,-1.02675399387471,15.3203634317583
"5","AL",2004,283,-1.00121322342512,-0.102555731604602,-0.0718965645526219,-0.0859947603739242,-0.227930106741144,-0.227173722476775,1.33221569318445,0.0772917073015073,0.211329427642212,-1.16329686990704,-1.02675399387471,15.3263934116641
"6","AL",2005,283,-1.00469856742168,-0.102239196094873,-0.0718802022934111,-0.0859839216228818,-0.222083397792001,-0.830518105810847,1.20204090732515,0.352662879853659,0.289309079344097,-0.997778723812553,-1.02675399387471,15.3349810923758
"7","AL",2006,398,-0.60736935181402,0.195571938295383,-0.0709787642078888,-0.0858760994018953,-0.213229245658351,-1.05411371039573,0.481983753786819,0.26089083974309,0.110778351149996,-0.88053800665876,-1.02675399387471,15.3478473154468
"8","AL",2007,511,-0.222880011967266,0.00221837348197595,-0.0702147805142437,-0.0858793167120716,-0.206666884930526,-1.09706986865245,0.519961508353372,0.232833558335717,-0.129955428924396,-0.795011458815662,-1.02675399387471,15.3572775818497
"9","AL",2008,607,0.0882691412349256,-0.0163465540597526,-0.0693606532658509,-0.0858607887437894,-0.199879040775883,-0.306631041868174,0.562285404405542,0.328467217425635,-0.0596560183839468,-0.780236985871787,-0.485893081499249,15.3669392005655
"10","AL",2009,630,0.191284072755846,-0.00384507987240233,-0.0611214796455069,-0.0858738730727634,-0.193934178457136,2.20175084371442,1.13259126327949,0.807564792917854,0.131204213819892,-0.876641636213155,0.0549678308762082,15.375324939075
"11","AL",2010,547,-0.111036638341856,0.0039560111623391,-0.0616050735324329,-0.0858551039448892,-0.189819667007845,2.02385999627179,1.34558424097507,1.3733892266472,0.329047645302529,-0.773868884632009,0.595828743251666,15.3810879057629
"12","AL",2011,552,-0.111957295246607,0.0634479308611217,-0.0483587174580765,-0.0858518626626501,-0.187779992107785,1.59083966922164,0.849891677190167,1.89573910871094,0.548150305959743,-0.660004503523641,0.595828743251666,15.3839324987324
